Sample	posterior	likelihood	prior	treeLikelihood.H3N2_subsampled	structuredCoalescent.t:H3N2_subsampled	treeHeight.t:H3N2_subsampled	Ne.t:H3N2_subsampled.Australia	Ne.t:H3N2_subsampled.Hong_Kong	Ne.t:H3N2_subsampled.Japan	Ne.t:H3N2_subsampled.New_Zealand	Ne.t:H3N2_subsampled.USA	b_migration.t:H3N2_subsampled.Australia_to_Hong_Kong	b_migration.t:H3N2_subsampled.Australia_to_Japan	b_migration.t:H3N2_subsampled.Australia_to_New_Zealand	b_migration.t:H3N2_subsampled.Australia_to_USA	b_migration.t:H3N2_subsampled.Hong_Kong_to_Australia	b_migration.t:H3N2_subsampled.Hong_Kong_to_Japan	b_migration.t:H3N2_subsampled.Hong_Kong_to_New_Zealand	b_migration.t:H3N2_subsampled.Hong_Kong_to_USA	b_migration.t:H3N2_subsampled.Japan_to_Australia	b_migration.t:H3N2_subsampled.Japan_to_Hong_Kong	b_migration.t:H3N2_subsampled.Japan_to_New_Zealand	b_migration.t:H3N2_subsampled.Japan_to_USA	b_migration.t:H3N2_subsampled.New_Zealand_to_Australia	b_migration.t:H3N2_subsampled.New_Zealand_to_Hong_Kong	b_migration.t:H3N2_subsampled.New_Zealand_to_Japan	b_migration.t:H3N2_subsampled.New_Zealand_to_USA	b_migration.t:H3N2_subsampled.USA_to_Australia	b_migration.t:H3N2_subsampled.USA_to_Hong_Kong	b_migration.t:H3N2_subsampled.USA_to_Japan	b_migration.t:H3N2_subsampled.USA_to_New_Zealand	clockRate.c:H3N2_subsampled	gammaShape.s:H3N2_subsampled	kappa.s:H3N2_subsampled	freqParameter.s:H3N2_subsampled1	freqParameter.s:H3N2_subsampled2	freqParameter.s:H3N2_subsampled3	freqParameter.s:H3N2_subsampled4	
15800000	-6660.235800620871	-5851.312653728504	-808.9231468923664	-5851.312653728504	-803.1305229181864	5.087169815663583	1.784059850731554	1.171459867966101	0.27521384456225806	0.7051520886538561	1.7471083139903199	0.2434169625575598	0.2124784244045603	0.20678913623782116	0.5511120756111847	0.0914648927718092	0.24435498610113343	0.03930858678224701	0.22191715187905317	0.1259776619974142	0.9961461361184172	0.28308423473323346	0.7972036403282111	0.1933874917534777	0.04306036927972837	0.007017682390907596	0.6865103194649409	0.22665262975499928	0.022787144639062534	0.00841178096476735	0.1923550924052978	0.005	0.48042119107799486	7.294848243902348	0.3583949087245047	0.201229098461723	0.19441967657936088	0.24595631623441094	
15850000	-6664.9898456709	-5847.938646966272	-817.0511987046277	-5847.938646966272	-810.7612146487387	4.6763294083454925	1.4279004519015206	0.8492294864610115	0.7035007911787579	0.7689085706486813	2.082013545772847	0.11998247230127171	0.3227705272656979	0.5133577113794398	0.7714634470749212	0.06085494159746705	0.6687049053825302	0.11379358997362776	0.20685068377549481	0.2429050671758493	0.28199405484187345	0.1913710665212463	0.31830257983926025	0.15494912823862905	0.13788721316877514	0.20582609608172728	0.7294330890495656	0.05336137293680019	0.08784084808091096	0.12334256324461185	0.05009323487746563	0.005	0.4957422446407372	8.108411223599122	0.34617511139555224	0.209068858494362	0.20186303906043468	0.24289299104965054	
15900000	-6708.962206677774	-5878.629521283802	-830.3326853939712	-5878.629521283802	-822.4789511741991	4.552779132095902	1.0005745622994826	1.1133183197511887	0.5622043088520549	0.5768633394325654	2.6367002045062087	0.08836801656303316	0.4583195405233502	0.6870785356575343	1.0772243446524683	0.1037785824302729	0.30024525451422823	0.010700979730467275	0.21289417376079672	0.4945117948188048	0.37715177992122495	0.11123650664830943	0.6376311273372467	0.21182225271025293	0.2611264723682421	0.10497452031756234	0.1258048620240079	0.10648530910322354	0.03144213701431799	0.052017972220203886	0.42913838088536016	0.005	0.5012712450874586	6.853399589602086	0.3601777009676043	0.2158786298671079	0.20094286567050468	0.2230008034947826	
15950000	-6671.263942960534	-5862.216454250386	-809.0474887101478	-5862.216454250386	-799.1828638909898	5.4572898186786265	1.1514386558695557	1.2060406925331164	0.2753291852215617	0.5936669693287648	2.156720132374351	0.33219515551189766	0.016973684596377204	1.0332958648043191	1.724598721178444	0.07430935407886065	0.2811837258085426	0.011547705526015691	0.10620958651953581	0.33336277450782487	0.7080973554915851	0.01867647115564473	0.236572885364077	0.04795662277214934	0.10051641736924977	0.09910011770033793	0.9107571116494464	0.15005353297007903	0.12186431164771086	0.11369264613757354	0.024976697417743526	0.005	0.42456988823301345	8.57548871793215	0.35387792170506294	0.2072580861846317	0.19882781650500822	0.24003617560529658	
16000000	-6659.830197746274	-5863.955660083567	-795.8745376627078	-5863.955660083567	-780.6404281118739	4.175848410174905	1.3407726964060263	1.2025688437322526	0.531378372392571	0.6392828135993938	1.8969748884477022	0.169862318140453	0.23809553527779712	1.0205445399796618	0.8611691303258658	0.034453150495531396	1.4060684640640604	0.026804704472281227	0.2926579702445705	0.06240363835774248	0.05010319448045452	0.2924941730056734	0.9699558086003154	0.5025941796928539	0.053664346655916656	0.08968265362257771	1.1064958416289516	0.283650685744615	0.008110301823121254	0.18365369293906988	0.029514951860433285	0.005	0.48225417821239785	7.606339700643151	0.34055276132980217	0.20141775475609436	0.21177258188447884	0.24625690202962408	
16050000	-6657.968513717631	-5860.620830974788	-797.347682742843	-5860.620830974788	-785.5025031997806	4.691843193423617	1.289281273411504	1.5306015696932997	0.4214038028903821	0.5009986015956389	1.7160489756641124	0.2955361091582352	0.05156375074388166	1.064586673385104	1.218614918571469	0.1168232936997514	0.17389509918781892	0.008220938834443609	0.203511014194145	0.0960848760983885	0.8587230437692719	0.28285174428836724	0.7148626925778674	0.01266046386989892	0.1688754684757385	0.4919926041823606	0.7655439366980495	0.12937888431647843	0.20298665254458478	0.11182810376761208	0.013848673340436013	0.005	0.4275145553152959	6.5492833880593935	0.3455827492773946	0.21578881815489298	0.21390556358877838	0.2247228689789335	
16100000	-6674.823295574898	-5861.719171515636	-813.1041240592622	-5861.719171515636	-797.7832908955696	4.646653118973834	1.9185668867470336	1.4114033315771448	0.30094614984107726	0.3805114570029964	1.7857091786976504	0.2614201702030316	0.34662298498333866	1.1252799254706285	0.7611516755717616	0.191863386092195	0.5703483300335984	0.0011497114015395567	0.2336453658644865	0.6118873458248794	0.5681326058941397	0.08843697546460275	0.770807544532107	0.31647528344657455	0.0550105311710545	0.06423917120034171	0.8211526077163627	0.6305590880674451	0.09779025335977601	0.0722631965448076	0.17568535036162178	0.005	0.372403401462113	8.719636349599492	0.35010311870826233	0.21865986118224207	0.1994051649147828	0.23183185519471228	
16150000	-6613.884813145268	-5867.973629318247	-745.9111838270213	-5867.973629318247	-737.6456800229249	4.674787601517171	1.7532253778822884	1.0938233784450524	0.19641278632165676	0.3991617661116804	1.8400821141723847	0.27855286441405663	0.1317433806106228	0.9477177575031478	0.9133836045915671	0.02116405897569193	0.2709864695008176	0.08256582119242487	0.2190931699986068	0.1165053633265238	0.6285444695093682	0.2062168135055305	0.7243489234741131	0.23666872260711436	0.13998651926507347	0.13978058691551015	0.7731094834548178	0.06063882836048918	0.01223546354583248	0.03235861180487516	0.28871325092840167	0.005	0.37470979614919336	7.203337669823327	0.34565192273191236	0.21150797048983727	0.21560683583603604	0.2272332709422138	
16200000	-6651.036823588187	-5864.502581252849	-786.5342423353377	-5864.502581252849	-769.6725784229756	4.226421167848272	1.7364462006788512	1.3426966047899787	0.1543853493824539	0.27453903488252285	2.3324965212115	0.08801360382399716	0.35797519925840726	0.44669129180846817	1.4820272081692647	0.08281347538978148	0.47152342465109365	0.010927186933371429	0.228654190325117	0.6828909276700459	1.037410722440885	0.1939641171718597	0.4578805055602107	0.7558991437833243	0.3279732168833619	0.5303748893527442	0.7530365604112169	0.24157579333471543	0.023692673746409206	0.01615657499093503	0.07171409918145703	0.005	0.45202585540793017	8.578755589078913	0.34257675797714215	0.22105376359812576	0.20103739074546462	0.23533208767926697	
16250000	-6622.4977110086875	-5851.844514169515	-770.6531968391727	-5851.844514169515	-761.0723526988344	4.101843246820892	1.1803812677603807	1.4021890989588954	0.22947897755844945	0.36419125972538063	2.352795885698795	0.39017017414888977	0.0022080766195204465	0.7917653881452438	0.8453044206174322	0.0033049021321134003	0.5005441425797366	0.014085381897248572	0.26836885202178723	0.5236473821938741	0.33766218973275525	0.5519647272771969	0.23825855688148562	0.5938321769578222	0.10412079899167338	0.36519222757354997	0.5099924031490011	0.07796526453089084	0.06704532608065765	0.28861962649121425	0.032783191941526554	0.005	0.35508773334063715	7.464749857406517	0.32988729244929804	0.22827362312874253	0.20519502824104985	0.236644056180909	
16300000	-6667.107267406965	-5849.850055890978	-817.2572115159861	-5849.850055890978	-805.8964033978873	4.740755963425465	1.4325092959405659	1.3126485380348127	0.4016293285142043	0.5671616458770142	1.5583742213686624	0.319327336623343	0.2766988035097301	0.8274766137360667	0.952429115283934	0.01215084812044817	0.4034147932026564	0.1080518922572665	0.2660471686214312	0.049669296446832795	0.1391869582515854	0.3228485607748955	0.9563243254876569	0.5742066639300747	0.06956110684673404	0.4171596452924414	0.5865286581052553	0.2471552135866007	0.004629285338279847	7.870931563380502E-4	0.2385893906107936	0.005	0.524479057694288	8.135200497401247	0.3407934366472345	0.20287396283645165	0.1913468716865834	0.26498572882973	
16350000	-6679.375293046471	-5860.201694636224	-819.1735984102469	-5860.201694636224	-810.3629648561811	4.463585577266777	1.9178610482383074	1.5472991318864162	0.26134398150930005	0.572582084460551	1.6608373488801689	0.18070710686898556	0.015567342282551334	0.8495538256003144	0.9287007721715271	0.056423358811469884	0.22604815323918157	0.08814295487095691	0.3577336055095651	0.030873617030650544	0.47987987402688775	0.37103373195957307	0.8664727813414608	0.46069783234805645	0.05599348787009623	0.03607438124919422	0.655336085671211	0.2362275998928521	0.08531035371864393	0.028361928313417616	0.05109663749799784	0.005	0.4320422698837901	8.680851241494441	0.3621253534698801	0.22570263400911644	0.19250984175226368	0.21966217076873937	
16400000	-6668.214319515382	-5881.281928737396	-786.9323907779866	-5881.281928737396	-768.4840789841099	4.556049629580672	0.9538324959733055	1.195600661600735	0.4220038986628637	0.6274092514247303	1.603625477507554	0.27306687822072684	0.14214975140585145	0.9769545061248679	1.6261522483738864	0.024118638830279766	0.4373552111851432	0.11089827284513937	0.28879022335176247	0.7612097928751171	0.7710552149377692	0.7866032121715033	0.901805692841926	0.33972743895071567	0.13313594704246312	0.012349440687075261	0.7796575621941071	0.24204478446553399	0.015000474753065379	0.0704397937980893	0.02274607831425301	0.005	0.44748907305506996	7.016682058406939	0.35144585812986207	0.22022375628692645	0.1940587168272832	0.2342716687559278	
16450000	-6668.878389953579	-5864.357382473785	-804.5210074797947	-5864.357382473785	-793.8504216922192	4.750796283114514	1.3287447236448675	1.0082638915591917	0.3233312433866728	0.870224220776965	2.201671709941993	0.46804408702800315	0.03060820637074716	0.49476283873616345	1.0620528188115406	0.08585382516481749	0.5094733774768156	0.006502640636059791	0.6283375408191241	0.04852223703990601	0.5578228470753879	0.15394980907695757	0.5743323911966364	0.5210961126820475	0.005378215805151499	0.09351969910211592	1.0566418936483262	0.11489684769722483	0.027677175089088204	0.16713696619772087	0.02792759697316501	0.005	0.37658818292937196	6.928992035418379	0.3574428911999886	0.21099976013366947	0.21329528513026086	0.21826206353608063	
16500000	-6680.487326649585	-5869.119410377712	-811.3679162718737	-5869.119410377712	-799.0478143543792	4.800660180629093	1.2953602712656378	1.3777934992593772	0.43636947858582203	0.6732736142150351	1.9893314742720694	0.2523528285188192	0.23790187134299243	0.2656804419050595	1.4972559970893857	0.09647505020655563	0.23275930689439403	0.018368599588983858	0.1606962806571219	0.38304083048577636	0.6360833565969711	0.48141109798005705	0.7579101721616751	0.46580734501655263	0.05984392080425748	0.694905780010074	0.1906764782686512	0.21934748151590688	0.13269410064958234	0.002736240205815818	0.12797537817733004	0.005	0.44328396528793035	8.307033551893056	0.3518749080266974	0.2057107542193508	0.20004742161363312	0.24236691614031824	
16550000	-6664.833657022388	-5871.089261364762	-793.7443956576266	-5871.089261364762	-785.4908486639157	5.1398636321487725	1.0941471050591545	1.7618107370753247	0.5298902666866957	0.65417373896027	2.076449929798229	0.21272390262263083	0.12514396591663715	0.3821855728016871	1.1066657373664834	0.010879950341207223	0.2677351991417369	0.002107480745005202	0.31890638203612337	0.01648053826544129	0.946249008319933	0.6846491071670601	0.10796152280572854	0.2072657414531576	0.10087344746258581	0.1742020096722607	0.6144535287262008	0.21296936258886576	1.8200003359285469E-4	0.3828260852417318	0.03804789203084173	0.005	0.45310202936623184	6.712701594345835	0.3474905905796937	0.20759515157967667	0.21860022504667811	0.22631403279395101	
