"states" "lineages" "ess_time" "method"
"67" 2 200 2495.3584566883 "mtt"
"68" 2 200 706.602806058862 "mtt"
"69" 2 200 3234.34671881085 "mtt"
"70" 2 200 500.703865038217 "mtt"
"71" 2 200 511.521829793806 "mtt"
"72" 2 200 763.061416421918 "mtt"
"73" 2 200 1532.65179582086 "mtt"
"74" 2 200 1223.01977787657 "mtt"
"75" 2 200 1315.42275092787 "mtt"
"76" 2 200 3022.98029618747 "mtt"
"77" 2 200 2585.34141350644 "mtt"
"78" 2 200 763.564089654724 "mtt"
"79" 2 200 1775.07014283199 "mtt"
"80" 2 200 3406.16969057649 "mtt"
"81" 2 200 1064.02825905185 "mtt"
"82" 2 200 1212.28611105224 "mtt"
"83" 2 200 1304.69082674398 "mtt"
"84" 2 200 804.543209658945 "mtt"
"85" 2 200 2959.63619946348 "mtt"
"86" 2 200 1137.09105783253 "mtt"
"87" 2 200 3026.70377430674 "mtt"
"88" 2 200 695.333281554712 "mtt"
"89" 2 200 1609.84136715888 "mtt"
"90" 2 200 1318.19152136161 "mtt"
"91" 2 200 1586.1630434395 "mtt"
"92" 2 200 1206.65732401925 "mtt"
"93" 2 200 918.289760722887 "mtt"
"94" 2 200 1742.54698909074 "mtt"
"95" 2 200 533.043598530353 "mtt"
"96" 2 200 2068.21404698633 "mtt"
"97" 2 200 1059.14175949382 "mtt"
"98" 2 300 970.371143629241 "mtt"
"99" 2 300 338.779782488132 "mtt"
"100" 2 300 377.737685777376 "mtt"
"101" 2 300 1216.15404152966 "mtt"
"102" 2 300 1019.4580243065 "mtt"
"103" 2 300 285.973339082707 "mtt"
"104" 2 300 388.357554536963 "mtt"
"105" 2 300 1025.99911154011 "mtt"
"106" 2 300 943.885015026418 "mtt"
"107" 2 300 250.156095329646 "mtt"
"108" 2 300 1928.20006280595 "mtt"
"109" 2 300 892.856497510401 "mtt"
"110" 2 300 1001.43313778886 "mtt"
"111" 2 300 1148.29817702982 "mtt"
"112" 2 300 347.438443080882 "mtt"
"113" 2 300 321.167305094444 "mtt"
"114" 2 300 2065.28672152023 "mtt"
"115" 2 300 940.681297890476 "mtt"
"116" 2 300 151.334329138237 "mtt"
"117" 2 300 1747.31795008341 "mtt"
"118" 2 300 1704.27220998627 "mtt"
"119" 2 300 872.945051509082 "mtt"
